filas_entrada,filas_adjudicadas,grupo,grupos_observados,algoritmo,min_ms,mediana_ms,q25_ms,q75_ms,pico_trazado_bytes_mediana
100,99,TamanoProveedor,5,referencia_f2,5.584066694912811,6.164333317428827,6.071683329840502,6.302600008590767,210179.0
100,99,TamanoProveedor,5,iterativa,2.6752333311984935,2.8347333427518606,2.783050003927201,2.864916673085342,108924.0
100,99,TamanoProveedor,5,recursiva,2.4969333317130804,2.5988667039200664,2.557066676672548,2.741233348691215,109234.0
100,99,TamanoProveedor,5,agrupada,3.635499975644052,3.9055999756480255,3.8888166697385413,4.036699984377871,108878.0
100,99,TipoLicitacion,4,referencia_f2,5.586900011015435,6.136100001943608,6.062216668700179,6.287933327257633,210038.0
100,99,TipoLicitacion,4,iterativa,2.5723333237692714,2.7023000099385777,2.6526333337339265,2.727016670784603,108916.0
100,99,TipoLicitacion,4,recursiva,2.626633310380081,2.7490333498766026,2.6523833318303027,2.8491166497891145,110939.0
100,99,TipoLicitacion,4,agrupada,3.6057000203679004,3.8743333037321768,3.803633328061551,3.9320999834065637,108869.0
1000,998,TamanoProveedor,5,referencia_f2,7.073333331694205,7.523966642717521,7.295433334851017,7.6744166629699375,1068251.0
1000,998,TamanoProveedor,5,iterativa,3.418333323982855,3.546199994161725,3.48866666899994,3.6127833106244602,666775.0
1000,998,TamanoProveedor,5,recursiva,3.3560999824355044,3.7399999952564635,3.625649997654061,3.818549991895755,667039.0
1000,998,TamanoProveedor,5,agrupada,4.596800000096361,4.693299997597933,4.637383332010359,4.73801667491595,666683.0
1000,998,TipoLicitacion,5,referencia_f2,7.178033352829516,7.469566655345261,7.371733333760252,7.661733330072215,1068205.0
1000,998,TipoLicitacion,5,iterativa,3.4305333392694592,3.6668666871264577,3.5315999800028903,3.8172666681930423,666775.0
1000,998,TipoLicitacion,5,recursiva,3.4381666919216514,3.620900019692878,3.557783318683505,3.7319500115700066,668848.0
1000,998,TipoLicitacion,5,agrupada,4.505333335449298,4.866666664990286,4.798583317703256,5.05223332826669,666775.0
10000,9953,TamanoProveedor,5,referencia_f2,20.682366681285203,21.642366657033563,21.504366653971374,21.749100007582456,9635475.0
10000,9953,TamanoProveedor,5,iterativa,12.434399997194609,13.084899983368814,12.946249994759757,13.268500003808487,6235077.0
10000,9953,TamanoProveedor,5,recursiva,12.77200000671049,12.96589996976157,12.899466654441008,13.145783353441704,6235341.0
10000,9953,TamanoProveedor,5,agrupada,12.984666662911573,13.3284666420271,13.23219999903813,13.460466677012544,6235077.0
10000,9953,TipoLicitacion,6,referencia_f2,21.05196666282912,22.253566654399037,21.941649999159075,22.398233355488628,9635437.0
10000,9953,TipoLicitacion,6,iterativa,11.301166649597386,11.645900007958213,11.451916691536704,12.019500000557553,6235077.0
10000,9953,TipoLicitacion,6,recursiva,11.391633306629956,12.3615333577618,11.589833341228466,12.67171666646997,6237197.0
10000,9953,TipoLicitacion,6,agrupada,11.51013335523506,12.651099978635708,12.132699989403289,13.0927666517285,6235077.0
44226,44025,TamanoProveedor,5,referencia_f2,65.70846665029724,66.92206669443597,66.29390001762658,68.09105000381047,42793378.0
44226,44025,TamanoProveedor,5,iterativa,39.91989997060349,41.85730001578728,40.57126668825125,42.05704998457804,27334565.0
44226,44025,TamanoProveedor,5,recursiva,39.69889999522517,41.69106665843477,41.05978334943454,41.97383332454289,27334829.0
44226,44025,TamanoProveedor,5,agrupada,36.18850000202656,38.55413334288945,37.698766662894435,39.9594499807184,27334564.0
44226,44025,TipoLicitacion,7,referencia_f2,64.91596666940798,68.25119998150815,67.02701667866981,68.72130001041417,42793615.0
44226,44025,TipoLicitacion,7,iterativa,39.41309999208897,40.71580001618713,40.546733323329434,41.60416665642212,27334565.0
44226,44025,TipoLicitacion,7,recursiva,40.10953335091472,40.528133317517735,40.14158334272604,41.656883336448416,27336638.0
44226,44025,TipoLicitacion,7,agrupada,39.10046664532274,39.75979999328653,39.42600001270573,40.08288332261145,27334565.0
